,ngram,freq,length,less1gram,less1gram_freq,hit_rate,suggest
12335,for failing to,10,3,for failing,10,1,to
12349,have yet to,10,3,have yet,10,1,to
12357,his ability to,10,3,his ability,10,1,to
12382,is supposed to,10,3,is supposed,10,1,to
12415,on suspicion of,10,3,on suspicion,10,1,of
12483,the nasdaq composite,10,3,the nasdaq,10,1,composite
12534,was pronounced dead,10,3,was pronounced,10,1,dead
12541,who grew up,10,3,who grew,10,1,up
15355,has been charged with,10,4,has been charged,10,1,with
15363,in the hands of,10,4,in the hands,10,1,of
15375,the us supreme court,10,4,the us supreme,10,1,court
15376,to be one of,10,4,to be one,10,1,of
8253,asbury park,9,2,asbury,9,1,park
8284,belonged to,9,2,belonged,9,1,to
8581,intend to,9,2,intend,9,1,to
8675,maricopa county,9,2,maricopa,9,1,county
8840,refer to,9,2,refer,9,1,to
8843,reluctant to,9,2,reluctant,9,1,to
8968,tends to,9,2,tends,9,1,to
12547,a bachelors degree,9,3,a bachelors,9,1,degree
12558,a range of,9,3,a range,9,1,of
12568,an array of,9,3,an array,9,1,of
12578,are able to,9,3,are able,9,1,to
12594,best known for,9,3,best known,9,1,for
12615,fat mg cholesterol,9,3,fat mg,9,1,cholesterol
12652,hes one of,9,3,hes one,9,1,of
12668,in honor of,9,3,in honor,9,1,of
12673,in search of,9,3,in search,9,1,of
12765,proved to be,9,3,proved to,9,1,be
12770,rose or percent,9,3,rose or,9,1,percent
12893,vast majority of,9,3,vast majority,9,1,of
15386,g fat g saturated,9,4,g fat g,9,1,saturated
15389,in a variety of,9,4,in a variety,9,1,of
15399,rose or percent to,9,4,rose or percent,9,1,to
9368,aims to,8,2,aims,8,1,to
9375,alma mater,8,2,alma,8,1,mater
9567,chado kick,8,2,chado,8,1,kick
9596,conjunction with,8,2,conjunction,8,1,with
9601,contributing to,8,2,contributing,8,1,to
9604,cope with,8,2,cope,8,1,with
9605,copies of,8,2,copies,8,1,of
9611,countered that,8,2,countered,8,1,that
9618,courtesy of,8,2,courtesy,8,1,of
9640,disagreed with,8,2,disagreed,8,1,with
9650,dose of,8,2,dose,8,1,of
9808,hennepin county,8,2,hennepin,8,1,county
9842,hong kong,8,2,hong,8,1,kong
9960,layers of,8,2,layers,8,1,of
9992,magnitude of,8,2,magnitude,8,1,of
10047,newt gingrich,8,2,newt,8,1,gingrich
10137,osama bin,8,2,osama,8,1,bin
10152,palo alto,8,2,palo,8,1,alto
10192,poised to,8,2,poised,8,1,to
10241,refuse to,8,2,refuse,8,1,to
10242,rein in,8,2,rein,8,1,in
10244,relying on,8,2,relying,8,1,on
10259,reunited with,8,2,reunited,8,1,with
10355,specializes in,8,2,specializes,8,1,in
10674,trayvon martin,8,2,trayvon,8,1,martin
10695,unified school,8,2,unified,8,1,school
10703,ups and,8,2,ups,8,1,and
12932,a mix of,8,3,a mix,8,1,of
12941,a sort of,8,3,a sort,8,1,of
12955,also known as,8,3,also known,8,1,as
12967,are plenty of,8,3,are plenty,8,1,of
12982,be required to,8,3,be required,8,1,to
13026,for up to,8,3,for up,8,1,to
13032,get rid of,8,3,get rid,8,1,of
13036,gulf of mexico,8,3,gulf of,8,1,mexico
13079,in conjunction with,8,3,in conjunction,8,1,with
13104,is intended to,8,3,is intended,8,1,to
13116,it plans to,8,3,it plans,8,1,to
13146,not authorized to,8,3,not authorized,8,1,to
13242,the essex county,8,3,the essex,8,1,county
13251,the likes of,8,3,the likes,8,1,of
13355,was supposed to,8,3,was supposed,8,1,to
13357,wasnt going to,8,3,wasnt going,8,1,to
13368,what kind of,8,3,what kind,8,1,of
15415,and were going to,8,4,and were going,8,1,to
15419,fell in love with,8,4,fell in love,8,1,with
15421,g fiber mg sodium,8,4,g fiber mg,8,1,sodium
15423,he was able to,8,4,he was able,8,1,to
15424,i was able to,8,4,i was able,8,1,to
15429,is not going to,8,4,is not going,8,1,to
15436,on the november ballot,8,4,on the november,8,1,ballot
15438,one at a time,8,4,one at a,8,1,time
15442,percent from a year,8,4,percent from a,8,1,year
15452,the vast majority of,8,4,the vast majority,8,1,of
15453,there are plenty of,8,4,there are plenty,8,1,of
15455,to come up with,8,4,to come up,8,1,with
15457,to take advantage of,8,4,to take advantage,8,1,of
15463,with left in the,8,4,with left in,8,1,the
13401,a prepared statement,7,3,a prepared,7,1,statement
13404,a reflection of,7,3,a reflection,7,1,of
13434,allow them to,7,3,allow them,7,1,to
13435,allowed him to,7,3,allowed him,7,1,to
13460,and want to,7,3,and want,7,1,to
13473,are willing to,7,3,are willing,7,1,to
13504,be willing to,7,3,be willing,7,1,to
13538,catholic high school,7,3,catholic high,7,1,school
13540,chair of the,7,3,chair of,7,1,the
13545,chief financial officer,7,3,chief financial,7,1,officer
13557,county circuit court,7,3,county circuit,7,1,court
13633,he declined to,7,3,he declined,7,1,to
13640,he tries to,7,3,he tries,7,1,to
13678,in light of,7,3,in light,7,1,of
13713,is asked to,7,3,is asked,7,1,to
13718,is owned by,7,3,is owned,7,1,by
13736,its easy to,7,3,its easy,7,1,to
13755,live up to,7,3,live up,7,1,to
13773,missouri department of,7,3,missouri department,7,1,of
13776,more or less,7,3,more or,7,1,less
13780,national weather service,7,3,national weather,7,1,service
13862,president nicolas sarkozy,7,3,president nicolas,7,1,sarkozy
13870,robert wood johnson,7,3,robert wood,7,1,johnson
13871,run chado kick,7,3,run chado,7,1,kick
13893,services such as,7,3,services such,7,1,as
13911,take part in,7,3,take part,7,1,in
13922,that type of,7,3,that type,7,1,of
13976,the secretary of,7,3,the secretary,7,1,of
14074,university school of,7,3,university school,7,1,of
14085,was kind of,7,3,was kind,7,1,of
14114,will try to,7,3,will try,7,1,to
14137,year more than,7,3,year more,7,1,than
14138,yearold resident of,7,3,yearold resident,7,1,of
15467,a yearold resident of,7,4,a yearold resident,7,1,of
15468,april in the block,7,4,april in the,7,1,block
15471,be a part of,7,4,be a part,7,1,of
15474,city of st louis,7,4,city of st,7,1,louis
15480,had a lot of,7,4,had a lot,7,1,of
15482,have the opportunity to,7,4,have the opportunity,7,1,to
15484,heres a look at,7,4,heres a look,7,1,at
15500,in the regular season,7,4,in the regular,7,1,season
15507,just a matter of,7,4,just a matter,7,1,of
15511,on the disabled list,7,4,on the disabled,7,1,list
15515,other end of the,7,4,other end of,7,1,the
15516,other parts of the,7,4,other parts of,7,1,the
15532,the missouri department of,7,4,the missouri department,7,1,of
15533,the national weather service,7,4,the national weather,7,1,service
15545,to take care of,7,4,to take care,7,1,of
15550,where i wanted to,7,4,where i wanted,7,1,to
15551,with a lot of,7,4,with a lot,7,1,of
15552,with information about the,7,4,with information about,7,1,the
15555,wont be able to,7,4,wont be able,7,1,to
15556,yearold resident of the,7,4,yearold resident of,7,1,the
14147,a blend of,6,3,a blend,6,1,of
14148,a blow to,6,3,a blow,6,1,to
14165,a rise in,6,3,a rise,6,1,in
14168,a tea party,6,3,a tea,6,1,party
14173,a violation of,6,3,a violation,6,1,of
14193,after high school,6,3,after high,6,1,school
14197,allowing them to,6,3,allowing them,6,1,to
14198,also pointed to,6,3,also pointed,6,1,to
14199,always going to,6,3,always going,6,1,to
14214,and failed to,6,3,and failed,6,1,to
14250,and trying to,6,3,and trying,6,1,to
14263,are based on,6,3,are based,6,1,on
14268,are supposed to,6,3,are supposed,6,1,to
14278,as low as,6,3,as low,6,1,as
14309,be worked out,6,3,be worked,6,1,out
14314,billion a year,6,3,billion a,6,1,year
14320,browns president mike,6,3,browns president,6,1,mike
14343,chief operating officer,6,3,chief operating,6,1,officer
14348,coach nate mcmillan,6,3,coach nate,6,1,mcmillan
14353,county superior court,6,3,county superior,6,1,court
14357,current and former,6,3,current and,6,1,former
14367,district attorneys office,6,3,district attorneys,6,1,office
14395,filed with the,6,3,filed with,6,1,the
14422,from high school,6,3,from high,6,1,school
14429,frustrated with the,6,3,frustrated with,6,1,the
14433,gay and lesbian,6,3,gay and,6,1,lesbian
14470,he finished with,6,3,he finished,6,1,with
14475,he or she,6,3,he or,6,1,she
14499,i fell in,6,3,i fell,6,1,in
14524,in according to,6,3,in according,6,1,to
14568,is committed to,6,3,is committed,6,1,to
14605,its ability to,6,3,its ability,6,1,to
14607,its such a,6,3,its such,6,1,a
14614,just part of,6,3,just part,6,1,of
14615,just wanted to,6,3,just wanted,6,1,to
14617,key role in,6,3,key role,6,1,in
14620,last couple of,6,3,last couple,6,1,of
14654,might want to,6,3,might want,6,1,to
14660,money he said,6,3,money he,6,1,said
14661,more focused on,6,3,more focused,6,1,on
14679,noon to pm,6,3,noon to,6,1,pm
14681,not long after,6,3,not long,6,1,after
14690,occupy wall street,6,3,occupy wall,6,1,street
14702,of mental health,6,3,of mental,6,1,health
14749,one side of,6,3,one side,6,1,of
14761,percent drop in,6,3,percent drop,6,1,in
14767,president george w,6,3,president george,6,1,w
14768,president mike holmgren,6,3,president mike,6,1,holmgren
14773,rain or shine,6,3,rain or,6,1,shine
14774,raise money for,6,3,raise money,6,1,for
14781,remaining in the,6,3,remaining in,6,1,the
14786,right into the,6,3,right into,6,1,the
14789,runners in scoring,6,3,runners in,6,1,scoring
14818,senate majority leader,6,3,senate majority,6,1,leader
14843,some kind of,6,3,some kind,6,1,of
14845,south st louis,6,3,south st,6,1,louis
14851,stay out of,6,3,stay out,6,1,of
14873,that percent of,6,3,that percent,6,1,of
14886,the arrival of,6,3,the arrival,6,1,of
14907,the effects of,6,3,the effects,6,1,of
14918,the fiscal year,6,3,the fiscal,6,1,year
14939,the middlesex county,6,3,the middlesex,6,1,county
14941,the millions of,6,3,the millions,6,1,of
14965,the promise of,6,3,the promise,6,1,of
14968,the remains of,6,3,the remains,6,1,of
15006,theres also a,6,3,theres also,6,1,a
15015,they tried to,6,3,they tried,6,1,to
15024,this level of,6,3,this level,6,1,of
15037,time last year,6,3,time last,6,1,year
15078,to rely on,6,3,to rely,6,1,on
15102,tony la russa,6,3,tony la,6,1,russa
15103,took care of,6,3,took care,6,1,of
15105,try not to,6,3,try not,6,1,to
15124,was assigned to,6,3,was assigned,6,1,to
15138,was unable to,6,3,was unable,6,1,to
15152,were asked to,6,3,were asked,6,1,to
15156,what appeared to,6,3,what appeared,6,1,to
15184,wide range of,6,3,wide range,6,1,of
15190,will no longer,6,3,will no,6,1,longer
15207,world trade center,6,3,world trade,6,1,center
15224,youd like to,6,3,youd like,6,1,to
15561,a key role in,6,4,a key role,6,1,in
15569,a wide range of,6,4,a wide range,6,1,of
15577,at the age of,6,4,at the age,6,1,of
15584,browns president mike holmgren,6,4,browns president mike,6,1,holmgren
15589,cholesterol g protein g,6,4,cholesterol g protein,6,1,g
15593,during the regular season,6,4,during the regular,6,1,season
15608,i fell in love,6,4,i fell in,6,1,love
15609,i just want to,6,4,i just want,6,1,to
15647,people who want to,6,4,people who want,6,1,to
15654,spent a lot of,6,4,spent a lot,6,1,of
15655,spoke on condition of,6,4,spoke on condition,6,1,of
15664,the last couple of,6,4,the last couple,6,1,of
15680,think its going to,6,4,think its going,6,1,to
15690,to take part in,6,4,to take part,6,1,in
15692,to vote on the,6,4,to vote on,6,1,the
15697,was shot in the,6,4,was shot in,6,1,the
15700,what appeared to be,6,4,what appeared to,6,1,be
15706,with president barack obama,6,4,with president barack,6,1,obama
15707,with runners in scoring,6,4,with runners in,6,1,scoring
15709,wouldnt be able to,6,4,wouldnt be able,6,1,to
15734,and a couple of,5,4,and a couple,5,1,of
15735,and a member of,5,4,and a member,5,1,of
15739,arrested in the block,5,4,arrested in the,5,1,block
15746,as the director of,5,4,as the director,5,1,of
15751,at one of the,5,4,at one of,5,1,the
15753,at the rose garden,5,4,at the rose,5,1,garden
15757,before the start of,5,4,before the start,5,1,of
15758,born and raised in,5,4,born and raised,5,1,in
15759,can be reached at,5,4,can be reached,5,1,at
15763,comes at a time,5,4,comes at a,5,1,time
15768,did a good job,5,4,did a good,5,1,job
15773,dont ask dont tell,5,4,dont ask dont,5,1,tell
15774,during world war ii,5,4,during world war,5,1,ii
15779,first three months of,5,4,first three months,5,1,of
15780,for a chance to,5,4,for a chance,5,1,to
15790,from the university of,5,4,from the university,5,1,of
15793,go a long way,5,4,go a long,5,1,way
15798,going to try to,5,4,going to try,5,1,to
15801,has been one of,5,4,has been one,5,1,of
15802,has nothing to do,5,4,has nothing to,5,1,do
15805,have to worry about,5,4,have to worry,5,1,about
15806,he pleaded guilty to,5,4,he pleaded guilty,5,1,to
15808,he was one of,5,4,he was one,5,1,of
15809,he was taken to,5,4,he was taken,5,1,to
15810,health and human services,5,4,health and human,5,1,services
15818,i want it to,5,4,i want it,5,1,to
15821,im just going to,5,4,im just going,5,1,to
15823,in a position to,5,4,in a position,5,1,to
15824,in a prepared statement,5,4,in a prepared,5,1,statement
15828,in an attempt to,5,4,in an attempt,5,1,to
15831,in iraq and afghanistan,5,4,in iraq and,5,1,afghanistan
15845,in the super bowl,5,4,in the super,5,1,bowl
15846,into the hands of,5,4,into the hands,5,1,of
15852,is the daughter of,5,4,is the daughter,5,1,of
15858,it was kind of,5,4,it was kind,5,1,of
15860,its a matter of,5,4,its a matter,5,1,of
15863,like a lot of,5,4,like a lot,5,1,of
15867,mg cholesterol mg sodium,5,4,mg cholesterol mg,5,1,sodium
15869,more information go to,5,4,more information go,5,1,to
15875,not been able to,5,4,not been able,5,1,to
15878,of a number of,5,4,of a number,5,1,of
15900,over the course of,5,4,over the course,5,1,of
15909,preheat oven to degrees,5,4,preheat oven to,5,1,degrees
15911,president stephen sweeney dgloucester,5,4,president stephen sweeney,5,1,dgloucester
15921,said i want to,5,4,said i want,5,1,to
15925,saturated fat mg cholesterol,5,4,saturated fat mg,5,1,cholesterol
15927,senate president stephen sweeney,5,4,senate president stephen,5,1,sweeney
15929,so we have to,5,4,so we have,5,1,to
15933,that sounds like a,5,4,that sounds like,5,1,a
15934,thats a lot of,5,4,thats a lot,5,1,of
15937,the company plans to,5,4,the company plans,5,1,to
15942,the game in the,5,4,the game in,5,1,the
15946,the gulf of mexico,5,4,the gulf of,5,1,mexico
15964,the past four years,5,4,the past four,5,1,years
15982,this is going to,5,4,this is going,5,1,to
15988,to be part of,5,4,to be part,5,1,of
15990,to crack down on,5,4,to crack down,5,1,on
16007,to the rest of,5,4,to the rest,5,1,of
16012,was the beginning of,5,4,was the beginning,5,1,of
16014,we are going to,5,4,we are going,5,1,to
16016,we look forward to,5,4,we look forward,5,1,to
16018,we were able to,5,4,we were able,5,1,to
16028,with seconds to play,5,4,with seconds to,5,1,play
16029,with the exception of,5,4,with the exception,5,1,of
16034,years in state prison,5,4,years in state,5,1,prison
1,the,1,1,0,1,1,the
39,according to,427,2,according,431,0.990719258,to
10835,be able to,104,3,be able,105,0.99047619,to
819,supreme court,56,2,supreme,57,0.98245614,court
91,able to,242,2,able,247,0.979757085,to
10916,a variety of,44,3,a variety,45,0.977777778,of
15231,in the block of,43,4,in the block,44,0.977272727,of
1395,depending on,36,2,depending,37,0.972972973,on
1739,kinds of,31,2,kinds,32,0.96875,of
11071,a matter of,26,3,a matter,27,0.962962963,of
11073,as soon as,26,3,as soon,27,0.962962963,as
11131,is trying to,24,3,is trying,25,0.96,to
15249,will be able to,23,4,will be able,24,0.958333333,to
10914,its going to,45,3,its going,47,0.957446809,to
1128,willing to,43,2,willing,45,0.955555556,to
11206,on behalf of,21,3,on behalf,22,0.954545455,of
15254,by the end of,21,4,by the end,22,0.954545455,of
10943,as long as,39,3,as long,41,0.951219512,as
3306,array of,19,2,array,20,0.95,of
833,plenty of,55,2,plenty,58,0.948275862,of
11396,look forward to,17,3,look forward,18,0.944444444,to
11437,were able to,17,3,were able,18,0.944444444,to
15269,for the rest of,17,4,for the rest,18,0.944444444,of
1566,dealing with,33,2,dealing,35,0.942857143,with
4122,depend on,16,2,depend,17,0.941176471,on
4205,notre dame,16,2,notre,17,0.941176471,dame
10910,a member of,46,3,a member,49,0.93877551,of
11576,take advantage of,15,3,take advantage,16,0.9375,of
11601,to worry about,15,3,to worry,16,0.9375,about
11050,to deal with,28,3,to deal,30,0.933333333,with
11630,as early as,14,3,as early,15,0.933333333,as
11631,as good as,14,3,as good,15,0.933333333,as
11672,looking forward to,14,3,looking forward,15,0.933333333,to
11681,of up to,14,3,of up,15,0.933333333,to
11688,player of the,14,3,player of,15,0.933333333,the
15297,theres a lot of,14,4,theres a lot,15,0.933333333,of
10878,was one of,55,3,was one,59,0.93220339,of
2086,handful of,27,2,handful,29,0.931034483,of
5445,participated in,13,2,participated,14,0.928571429,in
11739,a portion of,13,3,a portion,14,0.928571429,of
11782,in support of,13,3,in support,14,0.928571429,of
985,supposed to,48,2,supposed,52,0.923076923,to
1412,mitt romney,36,2,mitt,39,0.923076923,romney
11128,for at least,24,3,for at,26,0.923076923,least
5750,attempting to,12,2,attempting,13,0.923076923,to
5982,midst of,12,2,midst,13,0.923076923,of
11949,is accused of,12,3,is accused,13,0.923076923,of
11950,is designed to,12,3,is designed,13,0.923076923,to
11979,one count of,12,3,one count,13,0.923076923,of
12023,the tea party,12,3,the tea,13,0.923076923,party
11143,a handful of,23,3,a handful,25,0.92,of
11151,im going to,23,3,im going,25,0.92,to
11165,an effort to,22,3,an effort,24,0.916666667,to
6618,intends to,11,2,intends,12,0.916666667,to
6805,resulted in,11,2,resulted,12,0.916666667,in
12098,court of appeals,11,3,court of,12,0.916666667,appeals
12165,masters degree in,11,3,masters degree,12,0.916666667,in
12197,points per game,11,3,points per,12,0.916666667,game
12221,the bulk of,11,3,the bulk,12,0.916666667,of
10863,not going to,62,3,not going,68,0.911764706,to
1832,regardless of,30,2,regardless,33,0.909090909,of
11228,are trying to,20,3,are trying,22,0.909090909,to
12278,a masters degree,10,3,a masters,11,0.909090909,degree
12282,a super bowl,10,3,a super,11,0.909090909,bowl
12287,all kinds of,10,3,all kinds,11,0.909090909,of
12472,the deaths of,10,3,the deaths,11,0.909090909,of
12481,the locker room,10,3,the locker,11,0.909090909,room
15357,he was going to,10,4,he was going,11,0.909090909,to
15360,i was going to,10,4,i was going,11,0.909090909,to
15367,of the block of,10,4,of the block,11,0.909090909,of
15368,on condition of anonymity,10,4,on condition of,11,0.909090909,anonymity
15371,president and chief executive,10,4,president and chief,11,0.909090909,executive
109,trying to,221,2,trying,244,0.905737705,to
3414,referring to,19,2,referring,21,0.904761905,to
12665,in charge of,9,3,in charge,10,0.9,of
12666,in exchange for,9,3,in exchange,10,0.9,for
12769,rock n roll,9,3,rock n,10,0.9,roll
12849,this kind of,9,3,this kind,10,0.9,of
12903,was part of,9,3,was part,10,0.9,of
15382,a masters degree in,9,4,a masters degree,10,0.9,in
15394,in the parking lot,9,4,in the parking,10,0.9,lot
15398,pronounced dead at the,9,4,pronounced dead at,10,0.9,the
15228,at the end of,61,4,at the end,68,0.897058824,of
10888,in front of,51,3,in front,57,0.894736842,of
15273,or cents per share,17,4,or cents per,19,0.894736842,share
2396,tend to,25,2,tend,28,0.892857143,to
15246,when it comes to,25,4,when it comes,28,0.892857143,to
543,lack of,73,2,lack,82,0.890243902,of
649,hundreds of,64,2,hundreds,72,0.888888889,of
10860,is expected to,64,3,is expected,72,0.888888889,to
11006,the kind of,32,3,the kind,36,0.888888889,of
11123,a pair of,24,3,a pair,27,0.888888889,of
15275,im not going to,16,4,im not going,18,0.888888889,to
12950,affected by the,8,3,affected by,9,0.888888889,the
12952,against each other,8,3,against each,9,0.888888889,other
12991,best way to,8,3,best way,9,0.888888889,to
12997,by more than,8,3,by more,9,0.888888889,than
13019,for much of,8,3,for much,9,0.888888889,of
13083,in jersey city,8,3,in jersey,9,0.888888889,city
13124,just going to,8,3,just going,9,0.888888889,to
13171,oh my god,8,3,oh my,9,0.888888889,god
13252,the lives of,8,3,the lives,9,0.888888889,of
13351,was involved in,8,3,was involved,9,0.888888889,in
13379,with salt and,8,3,with salt,9,0.888888889,and
15416,are a lot of,8,4,are a lot,9,0.888888889,of
15425,i would like to,8,4,i would like,9,0.888888889,to
15432,months of the year,8,4,months of the,9,0.888888889,year
15435,on a charge of,8,4,on a charge,9,0.888888889,of
15447,the best way to,8,4,the best way,9,0.888888889,to
15448,the driver of the,8,4,the driver of,9,0.888888889,the
15458,toward the end of,8,4,toward the end,9,0.888888889,of
10837,the rest of,94,3,the rest,106,0.886792453,of
1272,thanks to,39,2,thanks,44,0.886363636,to
10962,there will be,38,3,there will,43,0.88372093,be
11025,the los angeles,30,3,the los,34,0.882352941,angeles
4574,tens of,15,2,tens,17,0.882352941,of
11616,youre going to,15,3,youre going,17,0.882352941,to
15280,at the start of,15,4,at the start,17,0.882352941,of
2833,rely on,22,2,rely,25,0.88,on
10861,the block of,63,3,the block,72,0.875,of
4834,focusing on,14,2,focusing,16,0.875,on
4996,responding to,14,2,responding,16,0.875,to
11636,chamber of commerce,14,3,chamber of,16,0.875,commerce
15287,have a lot of,14,4,have a lot,16,0.875,of
13410,a string of,7,3,a string,8,0.875,of
13465,announced plans to,7,3,announced plans,8,0.875,to
13533,calories from fat,7,3,calories from,8,0.875,fat
13610,gave birth to,7,3,gave birth,8,0.875,to
13611,gays and lesbians,7,3,gays and,8,0.875,lesbians
13623,had nothing to,7,3,had nothing,8,0.875,to
13628,have access to,7,3,have access,8,0.875,to
13647,his senior year,7,3,his senior,8,0.875,year
13704,in touch with,7,3,in touch,8,0.875,with
13741,just north of,7,3,just north,8,0.875,of
13754,little or no,7,3,little or,8,0.875,no
13757,long enough to,7,3,long enough,8,0.875,to
13772,minutes or until,7,3,minutes or,8,0.875,until
13791,not comment on,7,3,not comment,8,0.875,on
13842,other parts of,7,3,other parts,8,0.875,of
13854,pdt washington ap,7,3,pdt washington,8,0.875,ap
13891,served on the,7,3,served on,8,0.875,the
13951,the magnitude of,7,3,the magnitude,8,0.875,of
13974,the scope of,7,3,the scope,8,0.875,of
13984,the tampa bay,7,3,the tampa,8,0.875,bay
13994,them he said,7,3,them he,8,0.875,said
14068,took advantage of,7,3,took advantage,8,0.875,of
14083,was based on,7,3,was based,8,0.875,on
15479,had a chance to,7,4,had a chance,8,0.875,to
15486,i thought it was,7,4,i thought it,8,0.875,was
15494,in the bay area,7,4,in the bay,8,0.875,area
15497,in the number of,7,4,in the number,8,0.875,of
15509,of million or cents,7,4,of million or,8,0.875,cents
15519,resident of the block,7,4,resident of the,8,0.875,block
15549,what it means to,7,4,what it means,8,0.875,to
15553,with salt and pepper,7,4,with salt and,8,0.875,pepper
15554,with some of the,7,4,with some of,8,0.875,the
11241,or percent to,20,3,or percent,23,0.869565217,to
11074,bottom of the,26,3,bottom of,30,0.866666667,the
11780,in connection with,13,3,in connection,15,0.866666667,with
11824,the age of,13,3,the age,15,0.866666667,of
11831,the importance of,13,3,the importance,15,0.866666667,of
11285,or cents per,19,3,or cents,22,0.863636364,per
15245,the bottom of the,25,4,the bottom of,29,0.862068966,the
10857,were going to,67,3,were going,78,0.858974359,to
5745,aspects of,12,2,aspects,14,0.857142857,of
11919,has yet to,12,3,has yet,14,0.857142857,to
11956,just want to,12,3,just want,14,0.857142857,to
12014,the life of,12,3,the life,14,0.857142857,of
15311,as a way to,12,4,as a way,14,0.857142857,to
15565,a loss to the,6,4,a loss to,7,0.857142857,the
15576,at a news conference,6,4,at a news,7,0.857142857,conference
15583,both sides of the,6,4,both sides of,7,0.857142857,the
15603,go out there and,6,4,go out there,7,0.857142857,and
15605,had nothing to do,6,4,had nothing to,7,0.857142857,do
15646,on the number of,6,4,on the number,7,0.857142857,of
15672,the secretary of state,6,4,the secretary of,7,0.857142857,state
15676,the th anniversary of,6,4,the th anniversary,7,0.857142857,of
15679,the wall street journal,6,4,the wall street,7,0.857142857,journal
15681,those of us who,6,4,those of us,7,0.857142857,who
15705,will be one of,6,4,will be one,7,0.857142857,of
15710,you dont want to,6,4,you dont want,7,0.857142857,to
152,kind of,173,2,kind,202,0.856435644,of
1466,responsible for,35,2,responsible,41,0.853658537,for
10989,from am to,34,3,from am,40,0.85,to
11387,in high school,17,3,in high,20,0.85,school
504,thousands of,77,2,thousands,91,0.846153846,of
11172,in favor of,22,3,in favor,26,0.846153846,of
6670,luther king,11,2,luther,13,0.846153846,king
12064,a graduate of,11,3,a graduate,13,0.846153846,of
12125,he plans to,11,3,he plans,13,0.846153846,to
12150,is charged with,11,3,is charged,13,0.846153846,with
12224,the disabled list,11,3,the disabled,13,0.846153846,list
12227,the form of,11,3,the form,13,0.846153846,of
15333,a spokeswoman for the,11,4,a spokeswoman for,13,0.846153846,the
15340,hundreds of thousands of,11,4,hundreds of thousands,13,0.846153846,of
15350,the front of the,11,4,the front of,13,0.846153846,the
10898,a number of,49,3,a number,58,0.844827586,of
11488,thats going to,16,3,thats going,19,0.842105263,to
15232,at the same time,42,4,at the same,50,0.84,time
2911,aimed at,21,2,aimed,25,0.84,at
11076,cents per share,26,3,cents per,31,0.838709677,share
10938,as far as,40,3,as far,48,0.833333333,as
15282,million or cents per,15,4,million or cents,18,0.833333333,per
