,ngram,freq,length,less1gram,less1gram_freq,hit_rate,suggest
5353,i will be there,5,4,i will be,40,0.125,there
1285,glad i,18,2,glad,145,0.124137931,i
4058,i like it,13,3,i like,105,0.123809524,it
2980,goes to,9,2,goes,73,0.123287671,to
4334,i didnt get,9,3,i didnt,73,0.123287671,get
822,every time,25,2,every,203,0.123152709,time
444,over the,40,2,over,325,0.123076923,the
3508,missed the,8,2,missed,65,0.123076923,the
178,by the,77,2,by,626,0.123003195,the
4845,can i have,6,3,can i,49,0.12244898,have
5085,to follow you,6,3,to follow,49,0.12244898,you
5108,try to get,6,3,try to,49,0.12244898,get
5111,up the good,6,3,up the,49,0.12244898,good
457,life is,39,2,life,320,0.121875,is
64,like a,156,2,like,1284,0.121495327,a
2118,bring your,12,2,bring,99,0.121212121,your
3369,dinner with,8,2,dinner,66,0.121212121,with
4036,you for your,14,3,you for,116,0.120689655,your
3884,one of those,20,3,one of,166,0.120481928,those
4265,make it to,10,3,make it,83,0.120481928,to
4149,you and i,12,3,you and,100,0.12,i
4330,got a new,9,3,got a,75,0.12,new
4403,what is the,9,3,what is,75,0.12,the
4832,at a time,6,3,at a,50,0.12,time
5015,my new followers,6,3,my new,50,0.12,followers
4563,you think of,8,3,you think,67,0.119402985,of
790,most of,26,2,most,218,0.119266055,of
2737,okay i,10,2,okay,84,0.119047619,i
2782,sometimes you,10,2,sometimes,84,0.119047619,you
4240,get to see,10,3,get to,84,0.119047619,see
1375,hes a,17,2,hes,143,0.118881119,a
3830,want to be,29,3,want to,244,0.118852459,be
2181,isnt it,12,2,isnt,101,0.118811881,it
4150,you guys are,12,3,you guys,101,0.118811881,are
4579,and then i,7,3,and then,59,0.118644068,i
4771,was the best,7,3,was the,59,0.118644068,best
745,help you,27,2,help,228,0.118421053,you
4353,im so glad,9,3,im so,76,0.118421053,glad
2371,care about,11,2,care,93,0.11827957,about
3854,be a good,24,3,be a,203,0.118226601,good
1324,these days,18,2,these,153,0.117647059,days
3568,outside of,8,2,outside,68,0.117647059,of
3593,safe and,8,2,safe,68,0.117647059,and
4474,ill be there,8,3,ill be,68,0.117647059,there
4839,but you can,6,3,but you,51,0.117647059,can
2969,forget the,9,2,forget,77,0.116883117,the
4320,by the way,9,3,by the,77,0.116883117,way
4361,like to be,9,3,like to,77,0.116883117,be
562,take it,34,2,take,291,0.116838488,it
2176,idea of,12,2,idea,103,0.116504854,of
5379,so i can dm,5,4,so i can,43,0.11627907,dm
5400,would love to have,5,4,would love to,43,0.11627907,have
888,tell you,24,2,tell,207,0.115942029,you
3416,half of,8,2,half,69,0.115942029,of
3711,walk in,8,2,walk,69,0.115942029,in
2140,food and,12,2,food,104,0.115384615,and
2941,comes out,9,2,comes,78,0.115384615,out
4395,to work with,9,3,to work,78,0.115384615,with
4910,i did not,6,3,i did,52,0.115384615,not
2196,left the,12,2,left,105,0.114285714,the
644,being a,30,2,being,263,0.114068441,a
4344,i really want,9,3,i really,79,0.113924051,want
4238,for your support,10,3,for your,88,0.113636364,support
369,come to,46,2,come,405,0.113580247,to
4880,gonna be a,6,3,gonna be,53,0.113207547,a
4656,i wanna be,7,3,i wanna,62,0.112903226,be
4732,tell me i,7,3,tell me,62,0.112903226,i
4768,up with the,7,3,up with,62,0.112903226,the
3981,that i am,15,3,that i,133,0.112781955,am
4422,about to go,8,3,about to,71,0.112676056,go
4516,such a great,8,3,such a,71,0.112676056,great
5238,to be a great,8,4,to be a,71,0.112676056,great
3080,move on,9,2,move,80,0.1125,on
3081,move to,9,2,move,80,0.1125,to
1160,working with,20,2,working,178,0.112359551,with
4259,in your life,10,3,in your,89,0.112359551,life
4264,love to hear,10,3,love to,89,0.112359551,hear
315,had to,53,2,had,472,0.112288136,to
3779,for the follow,86,3,for the,766,0.11227154,follow
2361,both of,11,2,both,98,0.112244898,of
4214,what you do,11,3,what you,98,0.112244898,do
909,coming up,23,2,coming,205,0.112195122,up
245,think i,64,2,think,572,0.111888112,i
3818,i dont know,33,3,i dont,295,0.111864407,know
1384,id be,17,2,id,152,0.111842105,be
63,we are,157,2,we,1407,0.111584932,are
4010,i would have,14,3,i would,126,0.111111111,have
4382,the way to,9,3,the way,81,0.111111111,to
4536,to take it,8,3,to take,72,0.111111111,it
4818,am i the,6,3,am i,54,0.111111111,the
4847,can you please,6,3,can you,54,0.111111111,please
4933,i should be,6,3,i should,54,0.111111111,be
5030,part of a,6,3,part of,54,0.111111111,a
5070,there are some,6,3,there are,54,0.111111111,some
923,made a,23,2,made,208,0.110576923,a
924,made it,23,2,made,208,0.110576923,it
925,made my,23,2,made,208,0.110576923,my
4023,see you there,14,3,see you,127,0.11023622,there
1936,end up,13,2,end,118,0.110169492,up
2117,believe that,12,2,believe,109,0.110091743,that
5191,i love you so,12,4,i love you,109,0.110091743,so
4281,the day i,10,3,the day,91,0.10989011,i
4498,me i love,8,3,me i,73,0.109589041,love
4511,ready for a,8,3,ready for,73,0.109589041,a
4749,think i might,7,3,think i,64,0.109375,might
4752,this week and,7,3,this week,64,0.109375,and
4758,to know you,7,3,to know,64,0.109375,you
4116,i get a,12,3,i get,110,0.109090909,a
2786,taking the,10,2,taking,92,0.108695652,the
3823,i dont want,32,3,i dont,295,0.108474576,want
2994,heard of,9,2,heard,83,0.108433735,of
3846,have to be,25,3,have to,231,0.108225108,be
1157,wish you,20,2,wish,185,0.108108108,you
1548,put it,16,2,put,148,0.108108108,it
4494,know what i,8,3,know what,74,0.108108108,i
4495,know what to,8,3,know what,74,0.108108108,to
4701,love the new,7,3,love the,65,0.107692308,new
477,oh my,38,2,oh,353,0.107648725,my
664,sure to,30,2,sure,279,0.107526882,to
665,sure you,30,2,sure,279,0.107526882,you
2650,havent seen,10,2,havent,93,0.107526882,seen
1990,making a,13,2,making,121,0.107438017,a
1991,making me,13,2,making,121,0.107438017,me
2015,season of,13,2,season,121,0.107438017,of
2263,theres no,12,2,theres,112,0.107142857,no
4309,a few days,9,3,a few,84,0.107142857,days
4416,you to be,9,3,you to,84,0.107142857,be
5154,you like it,6,3,you like,56,0.107142857,it
2414,idea what,11,2,idea,103,0.106796117,what
675,where you,30,2,where,281,0.106761566,you
3596,saturday night,8,2,saturday,75,0.106666667,night
2009,playing the,13,2,playing,122,0.106557377,the
2012,remember the,13,2,remember,122,0.106557377,the
2013,remember to,13,2,remember,122,0.106557377,to
4068,last night and,13,3,last night,122,0.106557377,and
834,into a,25,2,into,235,0.106382979,a
4706,need a new,7,3,need a,66,0.106060606,new
982,made me,22,2,made,208,0.105769231,me
1940,following us,13,2,following,123,0.105691057,us
3967,go to sleep,15,3,go to,142,0.105633803,sleep
3485,late to,8,2,late,76,0.105263158,to
3494,lost in,8,2,lost,76,0.105263158,in
4547,what i can,8,3,what i,76,0.105263158,can
4548,what i do,8,3,what i,76,0.105263158,do
4842,can be a,6,3,can be,57,0.105263158,a
4179,i like the,11,3,i like,105,0.104761905,the
3266,youll have,9,2,youll,86,0.104651163,have
1521,lets get,16,2,lets,153,0.104575163,get
4605,for all you,7,3,for all,67,0.104477612,you
4691,just got a,7,3,just got,67,0.104477612,a
4692,just got home,7,3,just got,67,0.104477612,home
45,with the,190,2,with,1819,0.104452996,the
2662,hours to,10,2,hours,96,0.104166667,to
4084,the same thing,13,3,the same,125,0.104,thing
1197,friday night,19,2,friday,183,0.103825137,night
1025,does it,21,2,does,203,0.103448276,it
1027,every day,21,2,every,203,0.103448276,day
1013,whats your,22,2,whats,213,0.103286385,your
1193,find a,19,2,find,184,0.10326087,a
4060,i would be,13,3,i would,126,0.103174603,be
2868,yesterday i,10,2,yesterday,97,0.103092784,i
298,am i,54,2,am,524,0.103053435,i
4700,listening to music,7,3,listening to,68,0.102941176,music
4733,thanks to our,7,3,thanks to,68,0.102941176,our
1188,done with,19,2,done,185,0.102702703,with
3958,when i was,16,3,when i,156,0.102564103,was
3361,comes from,8,2,comes,78,0.102564103,from
2001,nothing like,13,2,nothing,127,0.102362205,like
302,make a,54,2,make,529,0.102079395,a
3844,a great time,25,3,a great,245,0.102040816,time
5342,i have to do,5,4,i have to,49,0.102040816,do
207,see the,71,2,see,698,0.101719198,the
2239,such an,12,2,such,118,0.101694915,an
51,so much,176,2,so,1731,0.101675332,much
4049,follow me back,13,3,follow me,128,0.1015625,back
162,how to,81,2,how,798,0.101503759,to
428,off the,41,2,off,404,0.101485149,the
429,off to,41,2,off,404,0.101485149,to
3873,but i dont,21,3,but i,207,0.101449275,dont
691,haha i,29,2,haha,286,0.101398601,i
4519,that you are,8,3,that you,79,0.101265823,are
4562,you should be,8,3,you should,79,0.101265823,be
1331,use it,18,2,use,178,0.101123596,it
1332,use the,18,2,use,178,0.101123596,the
2978,girls are,9,2,girls,89,0.101123596,are
4364,love to have,9,3,love to,89,0.101123596,have
292,would love,56,2,would,554,0.101083032,love
1024,didnt know,21,2,didnt,208,0.100961538,know
980,long time,22,2,long,218,0.100917431,time
913,help me,23,2,help,228,0.100877193,me
2230,read it,12,2,read,119,0.100840336,it
2023,sorry to,13,2,sorry,129,0.100775194,to
1704,until i,15,2,until,149,0.100671141,i
1373,hate the,17,2,hate,169,0.100591716,the
1374,hate when,17,2,hate,169,0.100591716,when
1238,start the,19,2,start,189,0.100529101,the
41,be a,203,2,be,2025,0.100246914,a
4112,for you to,12,3,for you,120,0.1,to
3160,text you,9,2,text,90,0.1,you
3506,minutes of,8,2,minutes,80,0.1,of
4527,to all my,8,3,to all,80,0.1,my
4528,to all who,8,3,to all,80,0.1,who
645,down to,30,2,down,301,0.099667774,to
1312,same time,18,2,same,181,0.099447514,time
227,more than,67,2,more,674,0.099406528,than
1875,though i,14,2,though,141,0.09929078,i
59,this is,166,2,this,1672,0.099282297,is
85,was a,126,2,was,1273,0.09897879,a
4312,all of my,9,3,all of,91,0.098901099,my
4313,all of your,9,3,all of,91,0.098901099,your
4525,the way you,8,3,the way,81,0.098765432,you
1631,id love,15,2,id,152,0.098684211,love
1632,id rather,15,2,id,152,0.098684211,rather
4597,feel like a,7,3,feel like,71,0.098591549,a
4598,feel like it,7,3,feel like,71,0.098591549,it
4767,up to the,7,3,up to,71,0.098591549,the
1117,may have,20,2,may,203,0.098522167,have
3887,a good day,19,3,a good,193,0.098445596,day
2228,playing with,12,2,playing,122,0.098360656,with
2232,remember when,12,2,remember,122,0.098360656,when
4939,i thought it,6,3,i thought,61,0.098360656,it
4940,i thought of,6,3,i thought,61,0.098360656,of
4941,i thought you,6,3,i thought,61,0.098360656,you
5155,you need a,6,3,you need,61,0.098360656,a
608,she is,32,2,she,326,0.098159509,is
1647,lets do,15,2,lets,153,0.098039216,do
2647,ha i,10,2,ha,102,0.098039216,i
289,think of,56,2,think,572,0.097902098,of
3143,send a,9,2,send,92,0.097826087,a
4396,wait to hear,9,3,wait to,92,0.097826087,hear
4083,that i have,13,3,that i,133,0.097744361,have
3356,called the,8,2,called,82,0.097560976,the
5231,cant wait to hear,8,4,cant wait to,82,0.097560976,hear
1103,give up,20,2,give,206,0.097087379,up
4283,the world is,10,3,the world,103,0.097087379,is
1479,birthday to,16,2,birthday,165,0.096969697,to
4337,i hate you,9,3,i hate,93,0.096774194,you
4399,we have the,9,3,we have,93,0.096774194,the
4942,i wanna do,6,3,i wanna,62,0.096774194,do
5095,to start a,6,3,to start,62,0.096774194,a
5112,up with my,6,3,up with,62,0.096774194,my
480,should have,38,2,should,394,0.096446701,have
1547,pretty good,16,2,pretty,166,0.096385542,good
1578,w a,16,2,w,166,0.096385542,a
1612,doesnt have,15,2,doesnt,156,0.096153846,have
5391,to see you again,5,4,to see you,52,0.096153846,again
3926,on my way,17,3,on my,177,0.096045198,way
4720,ready to get,7,3,ready to,73,0.095890411,get
2490,run with,11,2,run,115,0.095652174,with
435,youre a,41,2,youre,429,0.095571096,a
978,keep your,22,2,keep,231,0.095238095,your
2166,head up,12,2,head,126,0.095238095,up
4122,i would like,12,3,i would,126,0.095238095,like
4123,i would love,12,3,i would,126,0.095238095,love
3298,aint got,8,2,aint,84,0.095238095,got
4418,a few years,8,3,a few,84,0.095238095,years
485,why i,38,2,why,401,0.094763092,i
1842,put a,14,2,put,148,0.094594595,a
4620,good luck with,7,3,good luck,74,0.094594595,with
2238,stay in,12,2,stay,127,0.094488189,in
3575,perfect day,8,2,perfect,85,0.094117647,day
4211,way to go,11,3,way to,117,0.094017094,go
469,come on,38,2,come,405,0.09382716,on
4899,have the same,6,3,have the,64,0.09375,same
5013,my life is,6,3,my life,64,0.09375,is
5018,not a good,6,3,not a,64,0.09375,good
370,follow back,46,2,follow,491,0.093686354,back
2626,finally got,10,2,finally,107,0.093457944,got
4777,what is your,7,3,what is,75,0.093333333,your
147,about the,86,2,about,922,0.093275488,the
4209,trying to get,11,3,trying to,118,0.093220339,get
727,down the,28,2,down,301,0.093023256,the
2954,else is,9,2,else,97,0.092783505,is
2768,seen it,10,2,seen,108,0.092592593,it
4835,be the best,6,3,be the,65,0.092307692,best
5014,my mom is,6,3,my mom,65,0.092307692,is
1198,give you,19,2,give,206,0.09223301,you
4668,im so happy,7,3,im so,76,0.092105263,happy
4776,what i am,7,3,what i,76,0.092105263,am
4523,the only way,8,3,the only,87,0.091954023,way
2386,fuck you,11,2,fuck,120,0.091666667,you
262,back in,61,2,back,671,0.090909091,in
3833,if you dont,28,3,if you,308,0.090909091,dont
1046,keep up,21,2,keep,231,0.090909091,up
4244,i do not,10,3,i do,110,0.090909091,not
4342,i miss my,9,3,i miss,99,0.090909091,my
4343,i miss u,9,3,i miss,99,0.090909091,u
4556,you dont have,8,3,you dont,88,0.090909091,have
4581,and you will,7,3,and you,77,0.090909091,will
4629,hope you had,7,3,hope you,77,0.090909091,had
4699,like to see,7,3,like to,77,0.090909091,see
4892,has been a,6,3,has been,66,0.090909091,a
2079,years ago,13,2,years,144,0.090277778,ago
613,then i,32,2,then,356,0.08988764,i
4441,check out my,8,3,check out,89,0.08988764,my
3987,you know it,15,3,you know,167,0.089820359,it
3988,you know that,15,3,you know,167,0.089820359,that
525,why do,36,2,why,401,0.089775561,do
4712,of your life,7,3,of your,78,0.08974359,life
4972,is my new,6,3,is my,67,0.089552239,new
4986,just got back,6,3,just got,67,0.089552239,back
4987,just got my,6,3,just got,67,0.089552239,my
3917,all the way,17,3,all the,190,0.089473684,way
1099,days of,20,2,days,224,0.089285714,of
194,know what,74,2,know,832,0.088942308,what
1135,something to,20,2,something,225,0.088888889,to
1142,thing i,20,2,thing,225,0.088888889,i
1528,maybe i,16,2,maybe,180,0.088888889,i
2287,try and,12,2,try,135,0.088888889,and
4649,i really do,7,3,i really,79,0.088607595,do
4736,that you can,7,3,that you,79,0.088607595,can
4800,you should have,7,3,you should,79,0.088607595,have
2865,without a,10,2,without,113,0.088495575,a
344,would have,49,2,would,554,0.088447653,have
1626,hard work,15,2,hard,170,0.088235294,work
4876,get it in,6,3,get it,68,0.088235294,in
4898,have been a,6,3,have been,68,0.088235294,a
4953,ill be at,6,3,ill be,68,0.088235294,at
3843,to get a,26,3,to get,295,0.088135593,a
3840,if you are,27,3,if you,308,0.087662338,are
1028,feel better,21,2,feel,240,0.0875,better
2059,until the,13,2,until,149,0.087248322,the
702,please please,29,2,please,333,0.087087087,please
372,make sure,46,2,make,529,0.086956522,sure
4236,for me i,10,3,for me,115,0.086956522,i
3603,send them,8,2,send,92,0.086956522,them
4483,is going well,8,3,is going,92,0.086956522,well
4856,do it again,6,3,do it,69,0.086956522,again
4975,is that a,6,3,is that,69,0.086956522,a
5150,you get a,6,3,you get,69,0.086956522,a
4627,have you seen,7,3,have you,81,0.086419753,seen
4678,is not the,7,3,is not,81,0.086419753,the
5346,i need to know,5,4,i need to,58,0.086206897,know
898,year old,24,2,year,279,0.086021505,old
4463,i hate the,8,3,i hate,93,0.086021505,the
4546,we have to,8,3,we have,93,0.086021505,to
123,what you,98,2,what,1140,0.085964912,you
13,for a,352,2,for,4096,0.0859375,a
4020,of my life,14,3,of my,163,0.085889571,life
4340,i like that,9,3,i like,105,0.085714286,that
4976,it to me,6,3,it to,70,0.085714286,me
1181,because of,19,2,because,222,0.085585586,of
1182,because they,19,2,because,222,0.085585586,they
4303,way to get,10,3,way to,117,0.085470085,get
468,been a,38,2,been,446,0.085201794,a
3555,once i,8,2,once,94,0.085106383,i
4489,its a beautiful,8,3,its a,94,0.085106383,beautiful
4490,its a great,8,3,its a,94,0.085106383,great
3829,thank you so,29,3,thank you,341,0.085043988,so
1952,hear about,13,2,hear,153,0.08496732,about
2955,email me,9,2,email,106,0.08490566,me
568,why is,34,2,why,401,0.08478803,is
3847,i dont have,25,3,i dont,295,0.084745763,have
3879,and i dont,20,3,and i,236,0.084745763,dont
2642,gotta be,10,2,gotta,118,0.084745763,be
2643,gotta go,10,2,gotta,118,0.084745763,go
4298,to you and,10,3,to you,118,0.084745763,and
4299,trying to figure,10,3,trying to,118,0.084745763,figure
2572,yet but,11,2,yet,130,0.084615385,but
4027,this is the,14,3,this is,166,0.084337349,the
4774,we can do,7,3,we can,83,0.084337349,do
3862,i think its,23,3,i think,273,0.084249084,its
3605,set of,8,2,set,95,0.084210526,of
2959,far away,9,2,far,107,0.08411215,away
1361,doing it,17,2,doing,203,0.083743842,it
1191,everyone who,19,2,everyone,227,0.083700441,who
732,next to,28,2,next,336,0.083333333,to
1487,cool i,16,2,cool,192,0.083333333,i
2319,years of,12,2,years,144,0.083333333,of
4295,to make a,10,3,to make,120,0.083333333,a
3437,hours of,8,2,hours,96,0.083333333,of
4801,you to all,7,3,you to,84,0.083333333,all
979,let you,22,2,let,266,0.082706767,you
2656,hell yea,10,2,hell,121,0.082644628,yea
2657,hell yeah,10,2,hell,121,0.082644628,yeah
2714,making it,10,2,making,121,0.082644628,it
1226,miss the,19,2,miss,230,0.082608696,the
5224,i love you and,9,4,i love you,109,0.082568807,and
3576,person who,8,2,person,97,0.082474227,who
4518,that is a,8,3,that is,97,0.082474227,a
622,hope to,31,2,hope,376,0.082446809,to
4741,the most amazing,7,3,the most,85,0.082352941,amazing
2074,win the,13,2,win,158,0.082278481,the
4911,i didnt even,6,3,i didnt,73,0.082191781,even
5007,me i was,6,3,me i,73,0.082191781,was
942,where i,23,2,where,281,0.081850534,i
1360,didnt get,17,2,didnt,208,0.081730769,get
1049,look forward,21,2,look,257,0.081712062,forward
868,getting a,24,2,getting,294,0.081632653,a
3696,told her,8,2,told,98,0.081632653,her
149,good morning,86,2,good,1054,0.081593928,morning
306,there are,54,2,there,662,0.081570997,are
4582,at least one,7,3,at least,86,0.081395349,one
4621,good morning everyone,7,3,good morning,86,0.081395349,everyone
2629,following you,10,2,following,123,0.081300813,you
4079,out of my,13,3,out of,160,0.08125,my
3850,if you want,25,3,if you,308,0.081168831,want
4991,know what is,6,3,know what,74,0.081081081,is
4992,know what you,6,3,know what,74,0.081081081,you
4460,i feel bad,8,3,i feel,99,0.080808081,bad
4743,the only person,7,3,the only,87,0.08045977,person
4744,the only thing,7,3,the only,87,0.08045977,thing
757,next year,27,2,next,336,0.080357143,year
120,get a,98,2,get,1222,0.080196399,a
2202,must have,12,2,must,150,0.08,have
4121,i want a,12,3,i want,150,0.08,a
3510,money and,8,2,money,100,0.08,and
5128,what is it,6,3,what is,75,0.08,it
4074,of my favorite,13,3,of my,163,0.079754601,favorite
3117,open to,9,2,open,113,0.079646018,to
25,it was,250,2,it,3139,0.079643198,was
4794,you dont like,7,3,you dont,88,0.079545455,like
2270,thought it,12,2,thought,151,0.079470199,it
2271,thought you,12,2,thought,151,0.079470199,you
2653,head to,10,2,head,126,0.079365079,to
4302,was a good,10,3,was a,126,0.079365079,good
4558,you guys have,8,3,you guys,101,0.079207921,have
599,here in,32,2,here,405,0.079012346,in
4956,im so bored,6,3,im so,76,0.078947368,bored
4957,im so proud,6,3,im so,76,0.078947368,proud
5005,me and i,6,3,me and,76,0.078947368,i
1491,does anyone,16,2,does,203,0.078817734,anyone
1492,doing a,16,2,doing,203,0.078817734,a
1527,may th,16,2,may,203,0.078817734,th
1900,working out,14,2,working,178,0.078651685,out
5256,thank you for all,7,4,thank you for,89,0.078651685,all
5257,thank you for following,7,4,thank you for,89,0.078651685,following
363,he is,47,2,he,599,0.078464107,is
3400,funny as,8,2,funny,102,0.078431373,as
2010,pretty much,13,2,pretty,166,0.078313253,much
4086,this is why,13,3,this is,166,0.078313253,why
4326,for me to,9,3,for me,115,0.07826087,to
4233,follow me please,10,3,follow me,128,0.078125,please
417,people are,42,2,people,538,0.078066914,are
1485,coming out,16,2,coming,205,0.07804878,out
3859,if you have,24,3,if you,308,0.077922078,have
4826,and you are,6,3,and you,77,0.077922078,are
4827,and you get,6,3,and you,77,0.077922078,get
4828,and you know,6,3,and you,77,0.077922078,know
4840,by the end,6,3,by the,77,0.077922078,end
4904,hope you all,6,3,hope you,77,0.077922078,all
5000,love it when,6,3,love it,77,0.077922078,when
4099,you know what,13,3,you know,167,0.077844311,what
3948,it is a,16,3,it is,206,0.077669903,a
3358,cause you,8,2,cause,103,0.077669903,you
4336,i got to,9,3,i got,116,0.077586207,to
961,even if,22,2,even,284,0.077464789,if
4166,go to a,11,3,go to,142,0.077464789,a
995,say that,22,2,say,285,0.077192982,that
3832,have a good,28,3,have a,363,0.077134986,good
142,love to,89,2,love,1154,0.07712305,to
204,about to,71,2,about,922,0.077006508,to
1088,after i,20,2,after,260,0.076923077,i
1490,didnt even,16,2,didnt,208,0.076923077,even
2405,hes the,11,2,hes,143,0.076923077,the
3383,facebook page,8,2,facebook,104,0.076923077,page
1221,ive seen,19,2,ive,248,0.076612903,seen
3932,you are the,17,3,you are,222,0.076576577,the
2502,team is,11,2,team,144,0.076388889,is
3007,house and,9,2,house,118,0.076271186,and
4017,love you too,14,3,love you,184,0.076086957,too
4679,is so cute,7,3,is so,92,0.076086957,cute
4742,the next one,7,3,the next,92,0.076086957,one
747,ill have,27,2,ill,355,0.076056338,have
2312,win a,12,2,win,158,0.075949367,a
4909,i could have,6,3,i could,79,0.075949367,have
4930,i really hope,6,3,i really,79,0.075949367,hope
4931,i really like,6,3,i really,79,0.075949367,like
5088,to hear you,6,3,to hear,79,0.075949367,you
5157,you should go,6,3,you should,79,0.075949367,go
1359,days until,17,2,days,224,0.075892857,until
200,dont know,72,2,dont,952,0.075630252,know
439,make me,40,2,make,529,0.075614367,me
286,as well,56,2,as,741,0.075573549,well
1555,someone who,16,2,someone,213,0.075117371,who
2554,wanna be,11,2,wanna,147,0.074829932,be
2555,wanna do,11,2,wanna,147,0.074829932,do
3364,crazy but,8,2,crazy,107,0.074766355,but
22,is a,285,2,is,3826,0.074490329,a
4686,its a good,7,3,its a,94,0.074468085,good
842,next time,25,2,next,336,0.074404762,time
3142,season is,9,2,season,121,0.074380165,is
2354,ass ass,11,2,ass,148,0.074324324,ass
397,too much,44,2,too,593,0.074198988,much
222,thanks to,68,2,thanks,918,0.074074074,to
1116,looking to,20,2,looking,270,0.074074074,to
1850,start to,14,2,start,189,0.074074074,to
3385,few years,8,2,few,108,0.074074074,years
3504,mean i,8,2,mean,108,0.074074074,i
3602,seen the,8,2,seen,108,0.074074074,the
3739,whole lot,8,2,whole,108,0.074074074,lot
4905,how to get,6,3,how to,81,0.074074074,get
1026,even know,21,2,even,284,0.073943662,know
84,im not,126,2,im,1705,0.073900293,not
2549,until you,11,2,until,149,0.073825503,you
381,going on,45,2,going,610,0.073770492,on
3136,remember that,9,2,remember,122,0.073770492,that
494,happy mothers,37,2,happy,503,0.073558648,mothers
128,its a,94,2,its,1278,0.073552426,a
2660,hit by,10,2,hit,136,0.073529412,by
3903,a great weekend,18,3,a great,245,0.073469388,weekend
391,he was,44,2,he,599,0.07345576,was
798,than a,26,2,than,354,0.073446328,a
1924,before the,13,2,before,177,0.073446328,the
3347,believe it,8,2,believe,109,0.073394495,it
4420,a little bit,8,3,a little,109,0.073394495,bit
1608,coming soon,15,2,coming,205,0.073170732,soon
4946,i wish you,6,3,i wish,82,0.073170732,you
1171,after a,19,2,after,260,0.073076923,a
2061,use to,13,2,use,178,0.073033708,to
1844,said i,14,2,said,192,0.072916667,i
278,how much,58,2,how,798,0.072681704,much
565,want a,34,2,want,468,0.072649573,a
290,time for,56,2,time,771,0.072632944,for
1920,anyone have,13,2,anyone,179,0.072625698,have
1297,ive ever,18,2,ive,248,0.072580645,ever
4406,when you are,9,3,when you,124,0.072580645,are
3989,a good one,14,3,a good,193,0.07253886,one
2622,everything that,10,2,everything,138,0.072463768,that
5004,make it a,6,3,make it,83,0.072289157,a
5122,we can get,6,3,we can,83,0.072289157,get
1947,god i,13,2,god,180,0.072222222,i
137,all of,91,2,all,1261,0.072164948,of
1063,take the,21,2,take,291,0.072164948,the
4735,that is the,7,3,that is,97,0.072164948,the
2014,same thing,13,2,same,181,0.071823204,thing
686,come back,29,2,come,405,0.071604938,back
701,only one,29,2,only,405,0.071604938,one
2201,music video,12,2,music,168,0.071428571,video
4352,im not gonna,9,3,im not,126,0.071428571,gonna
4398,was a great,9,3,was a,126,0.071428571,great
4870,for my birthday,6,3,for my,84,0.071428571,birthday
1154,where the,20,2,where,281,0.071174377,the
1370,gonna get,17,2,gonna,239,0.071129707,get
1499,guys are,16,2,guys,225,0.071111111,are
736,should i,28,2,should,394,0.07106599,i
165,what a,81,2,what,1140,0.071052632,a
4218,you can get,11,3,you can,155,0.070967742,get
3905,are you going,18,3,are you,254,0.070866142,going
4372,see you at,9,3,see you,127,0.070866142,at
4635,i feel so,7,3,i feel,99,0.070707071,so
4071,love you so,13,3,love you,184,0.070652174,so
3878,will be a,21,3,will be,298,0.070469799,a
1333,very much,18,2,very,256,0.0703125,much
3109,ok i,9,2,ok,128,0.0703125,i
4323,follow me i,9,3,follow me,128,0.0703125,i
193,good luck,74,2,good,1054,0.070208729,luck
3883,is a great,20,3,is a,285,0.070175439,great
1501,help us,16,2,help,228,0.070175439,us
1568,things are,16,2,things,228,0.070175439,are
3938,i know i,16,3,i know,228,0.070175439,i
4444,did you see,8,3,did you,114,0.070175439,see
82,with a,127,2,with,1819,0.069818582,a
5277,for the follow i,6,4,for the follow,86,0.069767442,i
1531,miss my,16,2,miss,230,0.069565217,my
91,so i,120,2,so,1731,0.06932409,i
327,lol i,51,2,lol,736,0.069293478,i
1517,keep it,16,2,keep,231,0.069264069,it
3950,need to be,16,3,need to,231,0.069264069,be
3951,need to get,16,3,need to,231,0.069264069,get
1263,after the,18,2,after,260,0.069230769,the
724,come out,28,2,come,405,0.069135802,out
1759,does the,14,2,does,203,0.068965517,the
4141,to do with,12,3,to do,174,0.068965517,with
3337,b a,8,2,b,116,0.068965517,a
3523,name of,8,2,name,116,0.068965517,of
4461,i got my,8,3,i got,116,0.068965517,my
4462,i got you,8,3,i got,116,0.068965517,you
4557,you for all,8,3,you for,116,0.068965517,all
553,has to,34,2,has,494,0.068825911,to
2026,start a,13,2,start,189,0.068783069,a
3868,i have no,22,3,i have,320,0.06875,no
155,get to,84,2,get,1222,0.068739771,to
4675,is it just,7,3,is it,102,0.068627451,just
4676,is it so,7,3,is it,102,0.068627451,so
4677,is it that,7,3,is it,102,0.068627451,that
1399,ive got,17,2,ive,248,0.068548387,got
1400,ive never,17,2,ive,248,0.068548387,never
1108,him to,20,2,him,292,0.068493151,to
1700,tweet me,15,2,tweet,219,0.068493151,me
619,did i,31,2,did,454,0.068281938,i
611,thats the,32,2,thats,469,0.068230277,the
612,thats what,32,2,thats,469,0.068230277,what
1671,soon as,15,2,soon,220,0.068181818,as
3946,is the best,16,3,is the,235,0.068085106,best
3947,is the most,16,3,is the,235,0.068085106,most
516,make you,36,2,make,529,0.06805293,you
2846,wanna see,10,2,wanna,147,0.068027211,see
4251,if i can,10,3,if i,147,0.068027211,can
4252,if i was,10,3,if i,147,0.068027211,was
